nm	AB	MY
685	0.00127	0.0044
686	-0.00127	0.0045
687	0.00190	0.0046
688	-0.00091	0.0046
689	0.00066	0.0046
690	0.00076	0.0045
691	-0.00143	0.0044
692	0.00069	0.0043
693	0.00151	0.0042
694	-0.00141	0.0040
695	0.00017	0.0039
696	0.00053	0.0037
697	-0.00032	0.0035
698	-0.00006	0.0033
699	0.00312	0.0031
700	0.00145	0.0028
